Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
1;20,00;8;2;1;11,02;360;0;;7,71;3,06;
1;20,00;7;2;1;11,02;360;0;;7,57;2,16;
1;20,00;8;2;1;11,02;360;0;;10,48;4,20;
1;20,00;8;2;1;11,02;360;0;1;11,06;1,86;0,46
1;20,00;8;2;1;11,02;360;0;;17,46;4,56;0,26
1;20,00;7;2;1;11,02;360;0;1;11,14;2,64;0,31
1;20,00;7;2;1;11,02;360;0;;14,25;3,90;0,20
1;20,00;9;2;1;10,44;380;0;1;11,30;4,38;
1;20,00;8;2;1;11,02;360;0;1;7,63;1,92;0,21
;12,00;4;2;1;18,86;640;1;1;4,90;3,48;
;12,00;5;2;1;18,86;640;1;1;5,34;4,56;
;12,00;5;2;1;12,55;640;1;1;4,79;4,80;
;12,00;5;2;1;9,41;640;1;1;5,54;4,44;
;12,00;5;2;1;9,41;640;0;;4,83;1,02;0,41
;12,00;4;2;1;18,86;640;1;1;5,53;3,90;
;30,00;8;2;2;10,56;360;0;1;10,80;2,22;0,41
;30,00;6;2;2;18,52;360;1;1;12,18;2,10;0,41
;30,00;7;2;1;8,99;500;1;1;7,47;1,44;0,54
;30,00;7;2;1;8,99;500;0;;11,19;3,96;
;30,00;5;2;1;18,52;360;0;1;11,75;4,86;
;30,00;8;2;2;8,99;500;0;1;11,38;1,98;0,17
;30,00;8;2;2;10,56;360;0;1;11,26;2,10;0,38
;25,00;8;4;1;13,23;600;0;1;10,91;4,68;
;12,00;6;5;1;24,84;660;0;;41,88;9,30;
;12,00;6;5;1;24,84;660;0;;54,55;16,80;
;12,00;10;6;2;35,84;620;1;1;14,59;3,78;
;12,00;8;3;1;14,43;420;0;1;15,06;2,10;0,36
;12,00;7;4;1;16,71;420;0;1;10,86;3,54;
;12,00;6;3;3;15,12;420;1;1;14,96;3,12;0,44
;12,00;6;3;1;11,26;480;0;1;23,08;6,00;0,13
;12,00;7;4;1;16,71;420;0;1;11,12;3,18;
;12,00;6;3;1;12,79;460;0;1;14,34;2,94;
;12,00;8;3;1;14,43;420;0;1;14,78;2,40;0,33
;12,00;10;6;2;35,84;620;0;1;23,02;5,52;
;12,00;8;3;1;13,80;460;0;1;8,91;1,62;0,42
;12,00;7;3;1;10,68;520;1;1;15,96;3,42;0,32
;12,00;7;3;1;10,68;520;1;1;15,29;3,60;0,27
;12,00;10;6;2;35,84;620;0;1;14,23;2,64;
;12,00;8;3;1;13,80;460;1;1;4,71;0,72;0,44
;12,00;1;3;1;10,68;520;1;1;4,68;4,68;
;12,00;6;4;1;15,12;420;0;1;14,43;5,22;
1;20,00;9;4;1;18,52;400;0;1;9,91;2,64;0,09
1;20,00;9;3;1;12,82;400;0;1;12,32;2,76;
;15,00;9;3;2;12,66;400;1;1;27,16;3,24;0,42
;20,00;4;16;1;242,42;440;0;;65,01;5,88;0,27
;20,00;4;16;1;242,42;440;0;;72,19;13,32;
;20,00;4;16;1;242,42;440;0;;76,77;9,06;0,16
;20,00;8;3;3;12,53;420;0;;15,04;6,24;
;20,00;5;3;1;17,36;360;0;;50,50;9,96;
;20,00;10;3;3;9,75;540;0;;15,66;6,72;
;20,00;8;3;3;9,75;540;0;1;16,62;3,12;0,34
;20,00;9;3;3;12,53;420;0;1;16,18;2,34;0,21
;20,00;8;2;2;7,41;540;0;1;16,19;1,92;0,47
;20,00;8;3;3;12,53;420;0;1;15,08;1,14;0,48
;20,00;7;3;3;12,53;420;0;1;14,50;1,56;0,41
;20,00;2;13;1;242,42;440;0;;26,31;9,84;
;20,00;6;4;2;18,47;380;0;1;25,37;2,70;0,32
;20,00;9;4;3;15,15;440;0;1;30,78;7,08;
;20,00;9;4;2;15,15;440;1;1;15,79;2,94;0,19
;20,00;8;3;3;12,53;420;0;1;15,85;2,10;0,44
;20,00;9;3;3;9,75;540;0;1;16,78;3,90;
;20,00;8;2;2;7,41;540;0;1;16,04;2,64;0,16
;20,00;7;3;3;12,53;420;0;1;16,54;4,44;
;20,00;7;3;3;12,53;420;0;1;14,67;3,12;0,18
;20,00;6;3;1;9,92;560;0;1;14,36;5,94;
;20,00;9;3;3;12,53;420;0;1;17,07;5,52;
;20,00;9;3;3;12,53;420;0;1;13,93;2,64;0,21
;20,00;6;2;2;7,41;540;0;1;8,46;2,82;
;20,00;7;2;2;7,41;540;0;1;14,47;6,42;
;20,00;9;3;3;9,75;540;0;1;15,69;3,54;0,32
;20,00;9;3;3;12,53;420;0;1;15,68;6,96;
;20,00;7;3;1;12,53;420;0;1;15,19;5,52;
;20,00;7;3;1;12,53;420;0;1;13,30;5,34;
;20,00;9;3;3;12,53;420;0;1;13,26;2,04;0,43
;20,00;9;3;3;12,53;420;0;1;14,82;5,58;
;20,00;7;3;3;12,53;420;0;1;15,87;3,06;0,45
;20,00;9;3;3;12,53;420;0;1;16,37;3,30;0,20
;20,00;8;8;8;50,17;460;1;1;15,89;4,74;
;20,00;9;3;2;12,53;420;0;1;15,67;4,56;
;20,00;6;4;1;15,15;440;0;1;15,08;4,50;
;20,00;8;4;2;15,15;440;0;1;18,02;2,88;0,27
;20,00;7;3;2;12,53;420;0;1;13,63;2,52;0,37
;20,00;3;5;1;27,36;680;0;1;15,85;3,66;0,46
;20,00;7;8;8;50,17;460;1;1;15,01;3,36;0,15
;20,00;9;2;2;7,41;540;0;1;15,80;3,96;
;20,00;10;3;3;9,75;540;0;1;15,50;3,78;
;20,00;8;3;2;12,53;420;0;1;14,59;7,02;
;20,00;7;3;3;12,53;420;0;1;14,19;4,98;
;20,00;7;3;3;12,53;420;0;1;15,42;6,84;
;20,00;7;3;3;12,53;420;0;1;16,82;8,40;
;20,00;8;3;3;12,53;420;0;1;15,49;6,90;
;20,00;8;3;3;9,75;540;0;1;14,44;4,92;
;20,00;2;4;1;35,56;500;1;1;28,16;10,56;0,19
;20,00;10;8;8;50,17;460;0;1;37,15;6,36;
;20,00;10;8;8;50,17;460;0;1;35,19;5,16;
;20,00;6;4;2;18,47;380;0;1;24,76;5,70;
;20,00;2;4;1;23,46;620;1;1;0,22;0,24;0,27
;20,00;9;2;2;7,41;540;0;1;15,49;3,00;0,52
;20,00;9;3;3;11,57;540;0;1;25,62;5,28;
;20,00;6;2;2;7,41;540;0;1;15,57;7,80;
;20,00;9;3;3;12,53;420;0;1;15,61;3,30;0,14
;20,00;10;3;3;9,75;540;0;1;16,12;3,60;0,13
;20,00;7;2;2;7,41;540;0;1;16,01;2,82;0,47
;20,00;10;3;3;12,53;420;1;1;14,57;1,68;0,53
;20,00;9;8;4;50,17;460;0;1;26,36;4,92;0,13
;20,00;7;2;2;7,41;540;0;1;15,80;5,76;
;20,00;6;3;3;12,53;420;0;1;16,14;3,48;0,11
;20,00;9;3;3;12,53;420;0;1;16,37;5,46;
;20,00;7;3;2;9,57;550;1;1;16,55;1,92;0,43
;20,00;9;3;2;12,53;420;0;1;16,98;3,84;0,15
;20,00;9;3;3;12,53;420;0;;16,11;4,20;0,26
;20,00;9;3;3;12,53;420;0;1;14,63;2,82;0,29
;20,00;10;3;3;12,53;420;0;1;17,09;4,26;
;20,00;10;8;5;50,17;460;1;1;14,14;2,16;0,38
;20,00;8;3;3;12,53;420;0;1;16,53;3,42;0,34
;20,00;8;8;4;50,17;460;0;1;26,38;4,92;0,22
;20,00;6;4;4;18,47;380;0;1;26,45;3,30;0,48
;20,00;6;4;4;18,47;380;0;1;24,60;3,48;0,33
;20,00;6;4;4;18,47;380;0;;25,55;6,84;
;20,00;6;4;4;18,47;380;0;;24,39;9,78;
;20,00;7;3;1;9,75;540;0;1;14,64;5,16;
;20,00;9;3;3;12,53;420;0;1;16,82;3,60;0,21
;20,00;7;3;1;12,53;420;0;;15,20;1,92;0,43
;20,00;9;3;3;12,53;420;0;1;16,85;5,34;
;20,00;6;4;1;15,15;440;0;1;25,45;8,70;
;20,00;8;3;3;12,50;500;0;1;23,74;4,14;0,17
;20,00;7;3;3;12,53;420;0;1;13,69;2,52;
;20,00;10;3;2;12,53;420;0;1;16,31;3,06;0,19
;20,00;8;3;2;12,53;420;0;1;14,64;5,16;
;20,00;7;3;1;12,53;420;0;1;15,31;3,84;
;20,00;7;3;1;12,53;420;0;;31,76;7,92;
;20,00;7;3;1;12,53;420;0;;14,86;2,70;
;20,00;7;3;1;12,53;420;0;;14,99;4,98;
;20,00;7;3;1;12,53;420;0;;16,68;4,44;
;20,00;10;3;3;9,75;540;0;1;15,53;3,24;0,14
;20,00;9;3;3;12,53;420;0;1;16,51;3,90;0,12
;20,00;7;3;3;9,92;560;0;1;19,43;4,38;0,15
;20,00;8;3;3;12,53;420;0;1;16,15;5,40;
;20,00;8;3;3;9,75;540;0;1;17,54;5,40;
;20,00;9;3;3;12,53;420;0;1;15,29;6,12;
;20,00;8;3;2;9,75;540;0;1;16,14;3,12;0,36
;20,00;7;3;3;12,53;420;0;1;14,83;2,52;0,42
;20,00;10;3;3;12,53;420;0;1;16,30;3,54;0,11
;20,00;8;4;2;15,15;440;0;1;30,45;6,18;0,10
;20,00;8;2;2;7,41;540;0;1;17,17;4,50;
;20,00;9;3;3;12,53;420;0;1;15,57;4,92;
;20,00;8;8;8;50,17;460;1;1;15,91;3,30;0,21
;20,00;8;3;3;12,53;420;0;1;16,47;3,96;0,20
;20,00;9;3;3;9,75;540;0;1;16,76;3,54;0,19
;20,00;7;3;1;12,53;420;0;1;30,09;8,22;
;20,00;6;4;3;18,47;380;0;1;27,18;5,46;0,10
;20,00;8;3;2;9,75;540;0;1;15,38;3,84;
;20,00;5;8;4;50,17;460;0;1;65,95;12,18;
;20,00;7;4;2;15,15;440;0;1;43,81;6,72;
;20,00;6;4;2;18,47;380;0;1;27,95;7,32;0,17
;20,00;5;8;4;50,17;460;0;1;48,99;4,74;
;20,00;5;8;4;50,17;460;0;;25,30;6,72;0,13
;20,00;8;2;2;7,41;540;0;1;15,69;5,22;
;20,00;10;3;3;12,53;420;0;1;16,06;4,56;
;20,00;8;4;2;15,15;440;0;1;26,65;4,02;
;20,00;8;4;2;15,15;440;0;;24,82;4,44;0,19
;20,00;6;4;1;15,15;440;0;1;15,68;2,52;0,38
;20,00;6;4;1;15,15;440;0;;14,38;2,76;0,41
;20,00;6;4;1;15,15;440;0;;24,86;3,24;0,48
;20,00;10;3;3;12,53;420;0;1;15,20;2,70;0,18
;20,00;6;3;3;12,53;420;0;1;14,52;2,82;0,13
;20,00;7;8;7;50,17;460;0;1;14,83;5,10;
;20,00;7;3;1;9,75;540;0;1;16,59;6,06;
;20,00;7;3;1;9,75;540;0;;14,84;3,48;
;20,00;10;3;3;9,75;540;0;1;16,94;3,96;
;20,00;7;3;1;12,53;420;0;1;30,17;9,54;
;20,00;7;3;1;12,53;420;0;;16,22;1,98;0,57
;20,00;9;3;3;12,53;420;0;1;15,89;4,14;
;20,00;10;3;3;9,75;540;0;1;16,60;5,22;
;20,00;7;4;1;15,15;440;0;;15,39;4,98;
;20,00;8;4;2;15,15;440;0;1;16,69;5,40;
;20,00;8;3;3;9,75;540;0;1;16,84;5,94;
;20,00;10;3;3;12,53;420;0;1;16,01;6,60;
;20,00;10;2;2;7,41;540;0;1;17,21;4,68;
;20,00;10;2;2;7,41;540;0;;16,78;2,70;0,35
;20,00;8;3;2;9,75;540;0;1;15,37;3,18;0,09
;20,00;8;3;2;9,75;540;0;;14,04;2,82;
;20,00;2;10;1;66,67;500;0;;14,73;4,20;0,48
;20,00;2;10;1;66,67;500;0;;13,74;4,98;0,39
;20,00;8;3;2;9,75;540;0;;15,09;5,82;
;20,00;7;3;1;9,92;560;0;;14,83;6,36;
;20,00;10;3;3;12,53;420;0;1;16,10;5,70;
;20,00;10;3;3;12,53;420;0;1;16,94;5,22;
;20,00;7;2;2;7,41;540;0;;15,46;2,76;0,37
;20,00;7;2;2;7,41;540;0;;14,37;3,72;
;20,00;7;2;2;7,41;540;0;;16,20;6,30;
;20,00;6;4;2;18,47;380;0;;26,49;2,64;0,04
;20,00;2;10;1;66,67;500;0;;15,24;5,52;0,18
;20,00;2;10;1;66,67;500;0;;13,61;1,98;0,68
;20,00;9;2;2;7,41;540;0;;16,94;4,08;
;20,00;8;3;2;17,36;360;0;;39,16;6,00;
;20,00;6;4;1;18,47;380;0;;25,20;5,04;0,23
;20,00;6;4;1;18,47;380;0;;25,09;2,40;0,47
;20,00;7;2;1;6,54;600;0;;16,96;4,62;
;20,00;8;3;1;17,36;360;0;;13,54;2,82;
;15,00;10;6;6;31,38;570;0;1;18,36;3,48;0,19
;20,00;5;9;1;61,73;540;0;;14,40;4,80;0,19
;20,00;5;9;1;61,73;540;0;;15,20;4,08;0,27
;20,00;1;8;1;17,92;360;0;;131,77;4,38;0,07
;20,00;1;8;1;17,92;360;0;;129,97;8,64;
;20,00;1;8;1;17,92;360;0;;129,01;12,18;0,09
;20,00;1;8;1;17,92;360;0;;131,45;20,76;
;20,00;1;7;1;16,33;350;0;;178,52;9,30;
;20,00;1;7;1;16,33;350;0;;128,50;22,02;
;20,00;1;7;1;16,33;350;0;;130,63;21,78;0,15
;20,00;1;7;1;16,33;350;0;;128,61;19,80;0,06
;20,00;1;7;1;16,33;350;0;;126,54;22,32;
;20,00;1;7;1;16,33;350;0;;181,63;26,88;
;20,00;1;7;1;16,33;350;0;;131,77;24,72;
;20,00;6;8;1;30,30;440;1;1;16,20;3,12;0,39
;20,00;7;4;1;15,26;460;0;1;12,92;3,12;
;20,00;9;6;2;30,96;510;0;1;15,50;1,92;0,34
;20,00;1;7;1;16,33;350;0;;130,61;4,98;0,10
;20,00;1;7;1;16,33;350;0;;130,12;11,82;
;20,00;1;7;1;16,33;350;0;;259,89;11,64;
;20,00;7;5;1;35,01;420;0;1;7,64;1,44;0,43
;20,00;7;8;3;45,25;510;0;1;15,97;5,46;
;20,00;7;8;3;46,30;480;0;1;25,19;4,44;
;20,00;9;6;2;36,24;460;0;1;16,69;4,38;
;20,00;7;8;2;46,30;480;0;1;50,56;1,92;0,24
;20,00;9;5;2;18,52;500;0;1;26,68;4,08;
;20,00;6;8;3;40,04;370;0;1;25,57;9,00;
;20,00;7;8;3;45,25;510;0;1;14,69;5,16;
;20,00;10;5;2;20,67;450;1;1;17,04;2,10;0,44
;20,00;10;4;4;13,33;600;0;1;27,06;4,80;0,13
;20,00;9;4;2;25,25;660;0;1;14,41;2,88;0,15
;20,00;7;8;5;46,30;480;0;1;25,63;3,54;0,34
;20,00;8;4;1;15,78;440;0;1;20,46;5,10;
;20,00;7;8;4;46,30;480;0;1;35,43;5,34;0,30
;20,00;7;8;4;46,30;480;0;;25,64;5,58;0,15
;20,00;7;4;3;11,49;580;0;1;14,90;3,78;0,26
;20,00;9;5;2;23,15;360;1;1;16,95;3,18;0,19
;20,00;9;5;2;18,52;500;0;1;25,96;7,80;
;20,00;7;6;2;36,73;660;0;1;16,06;6,00;
;20,00;9;3;3;16,38;370;0;1;152,49;12,36;
;20,00;7;8;5;46,30;480;0;1;21,36;6,60;
;20,00;9;4;2;13,33;600;0;1;15,81;7,02;
;20,00;9;4;3;13,33;600;0;1;26,05;3,84;0,10
;20,00;6;6;2;36,73;660;0;1;16,59;6,24;
;20,00;9;6;2;36,23;460;0;;16,30;4,26;
;20,00;2;5;1;32,73;390;1;1;0,37;0,48;
;20,00;2;6;1;38,46;390;1;1;0,33;0,66;
;20,00;9;6;3;36,24;460;0;1;15,71;4,26;
;20,00;9;6;3;36,24;460;0;;25,57;6,54;
;20,00;9;5;2;18,52;500;0;1;26,22;5,52;
;20,00;7;5;2;13,33;600;0;1;16,00;4,92;
;20,00;1;8;1;17,92;360;0;1;185,57;21,18;
;20,00;1;8;1;17,92;360;0;;128,77;19,56;0,19
;20,00;1;8;1;17,92;360;0;;175,83;9,78;0,10
;20,00;8;4;3;20,72;380;0;1;11,66;2,88;
;20,00;9;6;2;36,23;460;0;1;15,75;4,32;
;20,00;7;8;1;46,30;480;0;1;28,13;4,14;0,30
;20,00;7;5;2;13,33;600;0;1;16,48;3,30;
;20,00;6;8;3;40,04;370;0;1;26,30;8,10;
;20,00;6;8;3;40,04;370;0;;37,51;8,34;
;20,00;10;3;3;16,38;370;0;1;38,34;6,96;0,09
;20,00;7;4;1;11,49;580;0;1;7,92;1,08;0,56
;20,00;6;8;3;40,04;370;0;1;27,94;6,72;0,12
;20,00;6;8;3;40,04;370;0;;53,44;5,52;0,25
;20,00;10;4;3;13,33;600;0;1;24,64;4,08;0,16
;20,00;10;4;3;13,33;600;0;;26,27;4,32;0,16
;20,00;9;4;2;19,14;380;0;1;15,08;2,94;
;20,00;9;4;2;19,14;380;0;;14,70;4,38;
;20,00;7;4;3;11,49;580;0;1;14,69;4,20;0,19
;20,00;7;6;3;28,84;510;0;1;22,52;9,30;
;20,00;9;5;3;18,52;500;0;1;27,06;8,52;
;20,00;7;8;4;46,30;480;0;1;26,55;6,66;
;20,00;7;8;1;46,30;480;0;1;27,26;12,12;
;20,00;10;4;4;13,33;600;0;1;27,38;3,78;0,20
;20,00;7;8;4;45,25;510;0;1;26,92;5,40;0,18
;20,00;7;8;4;45,25;510;0;;26,46;5,46;0,10
;20,00;10;3;2;13,23;450;0;1;30,85;6,60;
;20,00;8;4;1;13,33;600;0;1;14,91;3,06;0,10
;20,00;8;4;1;13,33;600;0;;25,99;3,96;0,15
;20,00;8;3;2;13,23;450;1;1;104,63;7,62;0,07
;20,00;9;5;2;18,52;500;0;1;27,73;5,34;
;20,00;8;4;3;15,78;440;0;1;83,74;9,24;0,11
;20,00;7;8;2;45,25;510;0;1;15,68;5,52;
;20,00;7;8;2;45,25;510;0;;17,02;4,98;
;20,00;8;11;6;70,55;540;0;1;13,48;4,62;
;20,00;9;5;4;18,52;500;0;1;21,77;4,50;0,17
;20,00;8;3;1;13,23;450;1;1;13,87;2,10;0,16
;20,00;8;3;2;13,23;450;1;1;80,55;6,24;0,13
;20,00;7;8;5;46,30;480;0;1;27,17;10,20;
;20,00;8;4;2;13,33;600;0;1;17,50;6,36;
;20,00;5;12;5;70,55;540;0;1;12,48;3,12;0,42
;20,00;8;4;3;11,49;580;0;1;14,83;4,26;
;20,00;10;4;3;13,33;600;0;1;18,73;5,10;
;20,00;7;8;3;45,25;510;0;1;16,00;3,42;0,29
;20,00;9;5;3;18,52;500;0;1;28,24;7,68;
;20,00;9;6;2;36,23;460;0;1;17,33;6,12;
;20,00;10;4;3;25,25;660;0;1;15,97;5,82;
;20,00;7;8;5;46,30;480;0;1;27,72;4,08;0,29
;20,00;10;3;2;13,23;450;1;1;39,56;6,06;0,18
;20,00;6;6;2;36,73;660;0;1;17,88;6,30;
;20,00;9;6;3;36,23;460;0;1;17,02;3,00;0,44
;20,00;5;9;1;64,41;540;0;1;14,67;3,00;0,34
;20,00;10;4;2;13,33;600;0;1;16,36;4,26;
;20,00;7;4;3;11,49;580;0;1;16,19;2,22;0,41
;20,00;10;4;4;13,33;600;1;1;16,68;1,98;0,39
;20,00;7;4;1;11,49;580;0;1;15,59;5,70;
;20,00;10;4;2;25,25;660;1;1;14,85;2,28;0,36
;20,00;10;4;2;25,25;660;0;;15,52;4,14;
;20,00;10;4;2;25,25;660;0;;14,67;4,50;
;20,00;6;9;2;40,04;370;0;1;17,92;4,08;0,30
;20,00;8;4;3;20,72;380;1;1;13,57;2,64;0,34
;20,00;8;4;2;15,78;440;0;1;107,67;12,18;
;20,00;8;6;1;25,06;420;0;1;26,45;6,48;
;20,00;8;6;1;25,06;420;0;;27,30;5,94;
;20,00;8;6;1;25,06;420;0;;26,57;6,36;
;20,00;8;6;1;25,06;420;0;;27,34;5,58;
;20,00;8;4;3;15,78;440;1;1;70,03;7,38;0,30
;20,00;5;8;2;40,04;370;0;1;27,39;8,40;
;20,00;7;8;3;45,25;510;0;1;16,02;5,82;
;20,00;7;5;1;19,44;420;1;1;9,01;6,00;
;20,00;7;6;1;28,84;510;1;1;3,37;1,68;
;20,00;7;5;1;24,51;400;0;1;8,33;2,04;0,37
;20,00;5;12;5;70,55;540;1;1;16,12;5,70;0,09
;20,00;2;5;1;38,51;380;1;1;0,41;1,20;
;20,00;2;5;1;26,09;500;1;1;0,31;0,24;0,47
;20,00;7;8;5;46,30;480;0;1;27,47;4,32;0,18
;20,00;7;8;5;46,30;480;0;;26,28;3,30;0,19
;20,00;8;3;2;16,38;370;1;1;50,56;3,96;0,47
;20,00;6;8;3;40,04;370;0;1;28,74;7,86;
;20,00;10;4;2;13,33;600;0;1;17,86;3,36;0,19
;20,00;7;8;2;45,25;510;0;1;17,48;3,36;0,32
;20,00;9;5;3;18,52;500;0;1;27,89;6,18;
;20,00;7;3;1;9,18;660;0;1;17,35;7,44;
;20,00;7;3;1;10,58;620;0;1;28,05;6,72;
;20,00;9;3;3;16,38;370;0;;74,19;9,00;
;20,00;7;8;4;46,30;480;0;1;27,31;4,92;0,27
;20,00;7;8;4;46,30;480;0;;27,08;5,52;0,20
;20,00;5;6;1;21,65;440;0;1;15,33;2,64;0,49
;20,00;5;6;1;21,65;440;0;;15,40;8,04;
;20,00;7;8;4;46,30;480;0;1;22,92;3,60;0,34
;20,00;9;6;3;36,23;460;0;1;17,79;8,22;
;20,00;8;4;1;15,78;440;1;1;42,95;8,04;
;20,00;8;4;1;15,78;440;1;1;21,60;5,76;
;20,00;7;8;1;46,30;480;0;1;37,04;7,26;
;20,00;7;8;1;46,30;480;0;;28,19;4,20;0,31
;20,00;7;8;1;46,30;480;0;;26,84;1,50;
;20,00;9;9;1;56,98;540;0;;39,60;7,68;
;20,00;8;8;1;56,98;540;0;;38,42;7,08;
;20,00;10;5;3;25,25;660;0;1;20,31;4,20;
;20,00;9;5;2;18,52;500;0;1;27,61;5,82;
;20,00;9;5;2;18,52;500;0;;27,62;10,38;
;20,00;8;6;1;25,06;420;0;;26,67;4,68;0,12
;20,00;7;6;2;36,73;660;0;;15,81;4,20;
;20,00;9;9;1;56,98;540;0;;40,85;7,92;
