Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
;20,00;9;9;1;56,98;540;0;;27,61;6,12;
;20,00;9;9;1;56,98;540;0;;39,67;5,76;0,36
;20,00;9;9;1;56,98;540;0;;39,70;9,54;
;20,00;8;9;1;56,98;540;0;;41,14;9,90;
;20,00;8;9;1;56,98;540;0;;38,01;7,98;
;20,00;8;9;1;56,98;540;0;;40,30;6,72;
;20,00;8;9;1;56,98;540;0;;40,29;7,02;0,17
;20,00;6;2;2;8,99;500;0;;15,12;5,70;
;20,00;4;2;1;8,99;500;0;;13,93;10,44;
;20,00;1;8;1;17,92;360;0;;128,05;18,30;
;20,00;8;2;1;7,80;570;0;;17,39;4,98;
;20,00;6;8;2;43,57;510;0;;16,54;4,14;0,38
;20,00;10;4;3;25,25;660;0;;15,82;3,18;0,13
;20,00;10;4;3;25,25;660;0;;24,97;3,72;0,22
;20,00;9;4;2;19,14;380;0;;16,45;3,06;0,31
;20,00;7;3;2;10,81;500;0;;17,15;7,08;
;20,00;7;3;2;10,81;500;0;;15,83;4,50;
;20,00;8;3;3;10,81;500;0;1;16,05;5,82;
;20,00;5;2;1;10,00;460;0;1;9,74;4,20;
;20,00;6;2;1;10,00;460;0;1;13,59;6,78;
;20,00;6;2;1;10,00;460;0;;13,93;4,20;
;20,00;6;2;1;10,00;460;0;;9,23;4,08;
;20,00;5;2;1;7,66;600;0;1;9,83;7,38;
;20,00;6;2;1;7,66;600;0;1;28,48;8,16;
;20,00;6;2;1;7,66;600;0;;18,10;8,70;
;20,00;6;2;1;7,66;600;0;;17,90;3,84;0,18
;20,00;6;2;1;10,00;460;0;1;12,95;6,00;
;20,00;6;2;1;10,00;460;0;;9,09;1,32;0,54
;20,00;6;2;1;10,00;460;0;;18,92;8,40;
;20,00;6;2;1;10,00;460;0;;12,41;1,38;0,67
;20,00;6;2;1;7,66;600;0;1;15,13;8,28;
;20,00;6;2;1;7,66;600;0;;18,63;4,08;0,11
;20,00;6;2;1;7,66;600;0;;18,38;4,92;
;20,00;6;2;1;7,66;600;0;;18,57;4,98;
;20,00;5;3;1;11,43;500;0;;52,83;9,48;
;20,00;5;3;1;11,43;500;0;;53,50;11,04;
;20,00;8;5;1;30,99;440;0;1;17,82;6,30;
;20,00;8;3;1;12,43;680;0;1;6,65;2,10;
;20,00;10;3;3;12,43;680;1;1;5,17;0,96;0,35
;20,00;5;3;1;12,50;500;1;1;25,35;6,60;
;20,00;5;3;1;12,50;500;0;;49,71;9,48;
;20,00;5;3;1;12,50;500;0;;25,85;5,16;0,20
;20,00;5;3;1;12,50;500;0;1;24,93;8,10;
;20,00;5;3;1;12,50;500;0;;25,13;6,54;
1;20,00;10;4;2;22,70;660;0;;14,83;2,64;0,18
1;20,00;6;2;2;7,80;570;0;;16,55;4,74;0,12
1;20,00;8;3;2;11,90;480;0;;15,09;3,84;
1;20,00;10;9;1;56,98;540;0;;40,16;5,52;0,15
1;20,00;10;9;1;56,98;540;0;;58,24;5,52;0,17
1;20,00;10;9;1;56,98;540;0;;55,64;7,56;0,30
1;20,00;10;6;1;25,06;420;0;1;53,36;8,88;
1;20,00;4;8;1;30,30;440;1;1;14,27;2,82;0,54
1;20,00;7;3;2;13,59;460;0;1;15,06;1,86;0,22
1;20,00;9;3;1;10,68;520;0;1;16,82;3,18;0,25
1;20,00;8;4;3;23,77;660;0;1;32,98;6,06;0,43
1;20,00;6;4;1;23,77;660;0;1;26,28;7,02;
1;20,00;9;4;2;23,77;660;0;1;19,78;4,50;0,21
1;20,00;2;8;1;53,05;390;1;1;0,16;0,18;
1;20,00;2;5;1;36,36;500;1;1;0,19;0,24;
1;20,00;2;5;1;26,04;480;1;1;0,11;0,06;0,55
1;20,00;2;5;1;21,93;380;1;1;0,08;0,12;
1;20,00;10;3;3;11,90;480;1;1;13,91;1,98;0,33
1;20,00;7;2;2;7,80;570;0;1;15,69;4,20;
1;20,00;9;4;3;23,77;660;0;1;17,17;4,50;
1;20,00;8;4;2;22,70;660;0;1;27,40;7,14;
1;20,00;7;9;1;56,98;540;0;1;27,46;4,20;0,28
1;20,00;7;9;1;56,98;540;0;1;14,16;1,80;0,46
1;20,00;7;9;1;56,98;540;0;1;13,50;2,64;0,23
1;20,00;2;5;1;28,57;420;1;1;0,13;0,12;0,36
1;20,00;9;5;1;25,25;660;1;1;14,92;2,46;0,25
1;20,00;9;5;3;25,25;660;1;1;115,75;9,90;0,17
1;20,00;10;5;2;22,73;400;1;1;27,42;4,68;
1;20,00;9;4;2;22,70;660;0;1;14,72;4,08;
1;20,00;7;4;2;23,77;660;0;1;19,75;5,04;0,36
1;20,00;6;4;1;23,77;660;0;1;14,67;3,12;0,46
1;20,00;7;4;2;23,77;660;0;1;21,91;5,70;
1;20,00;6;4;1;23,77;660;0;1;11,69;5,22;
1;20,00;6;4;2;23,77;660;0;1;14,36;3,72;0,24
1;20,00;10;3;3;11,90;480;1;1;15,48;3,84;
1;20,00;9;4;1;14,93;500;0;1;20,05;3,06;0,30
1;20,00;9;3;3;10,68;520;0;1;51,80;8,16;
1;20,00;6;4;1;23,77;660;0;;51,11;7,50;
1;20,00;6;4;1;23,77;660;0;;33,19;6,12;0,29
1;20,00;6;4;1;23,77;660;0;;27,56;7,68;
1;20,00;8;10;4;61,73;540;1;1;16,42;2,64;0,32
1;20,00;3;1;1;3,17;350;1;1;1,13;0,54;0,54
1;20,00;8;10;4;61,73;540;1;1;16,00;2,88;0,25
1;20,00;10;5;2;22,73;400;1;1;17,36;5,34;
1;20,00;8;2;1;11,11;400;1;1;14,82;3,36;0,15
1;20,00;7;3;1;19,16;580;1;1;25,52;5,10;
1;20,00;7;4;2;15,26;460;0;1;16,85;3,36;0,20
1;20,00;8;4;2;23,77;660;1;1;31,77;5,04;0,36
1;20,00;6;4;1;23,77;660;0;1;16,21;9,24;
1;20,00;7;4;3;23,77;660;1;1;42,61;6,72;0,22
1;20,00;7;4;3;23,77;660;0;;35,90;4,50;0,35
1;20,00;7;4;3;23,77;660;0;;31,73;11,22;
1;20,00;8;3;3;10,68;520;0;1;29,04;6,72;
1;20,00;5;9;1;57,14;500;0;1;27,45;6,60;0,24
1;20,00;5;9;1;57,14;500;0;;26,48;7,38;
1;20,00;6;6;1;23,31;440;0;;51,60;9,36;
1;20,00;9;3;1;10,68;520;0;1;17,50;5,82;
1;20,00;7;9;4;76,92;400;0;1;15,77;3,18;0,30
1;20,00;9;3;3;10,68;520;0;1;15,95;2,40;
1;20,00;8;4;3;23,77;660;1;1;20,19;4,68;
1;20,00;8;4;2;23,77;660;1;1;31,88;4,68;
1;20,00;7;9;3;76,92;400;1;1;19,75;4,74;0,18
1;20,00;8;5;2;25,25;660;0;1;65,42;9,36;
1;20,00;8;4;2;23,89;460;0;1;50,62;7,98;
1;20,00;10;4;2;14,93;500;0;1;66,26;9,60;
1;20,00;6;6;1;23,31;440;1;1;26,69;5,10;
1;20,00;6;6;1;23,31;440;0;;38,79;11,10;
1;20,00;7;2;2;7,80;570;0;1;17,62;5,58;
1;20,00;9;5;2;25,25;660;0;1;66,11;6,48;0,31
1;20,00;9;10;4;61,73;540;1;1;16,58;4,86;
1;20,00;4;6;1;61,73;360;0;1;4,80;1,44;0,50
1;20,00;6;9;7;76,92;400;0;1;15,27;5,22;0,11
1;20,00;8;2;2;8,55;520;0;1;15,83;2,34;0,33
1;20,00;8;9;1;56,98;540;0;1;29,58;7,26;
1;20,00;10;3;1;10,68;520;1;1;9,25;1,80;0,23
1;20,00;8;3;2;10,68;520;0;1;19,57;3,48;0,29
1;20,00;7;3;2;13,59;460;1;1;17,21;4,20;
1;20,00;7;3;2;9,57;550;1;1;18,40;3,42;0,34
1;20,00;10;7;7;61,73;360;1;1;22,79;4,56;0,10
1;20,00;10;6;1;25,06;420;0;;14,31;5,22;
1;20,00;10;6;1;25,06;420;0;;13,76;2,16;0,32
1;20,00;2;9;1;60,00;400;1;1;0,31;0,48;
1;20,00;2;4;1;23,77;660;1;1;0,63;0,48;0,40
1;20,00;9;5;2;25,25;660;0;1;15,34;4,38;
1;20,00;8;5;2;25,25;660;0;1;17,44;3,60;0,21
1;20,00;8;6;1;25,06;420;0;;15,13;4,56;
1;20,00;8;6;1;25,06;420;0;;15,09;4,50;
1;20,00;8;6;1;25,06;420;0;;13,92;3,90;
1;20,00;10;6;1;25,06;420;0;1;15,05;3,36;
1;20,00;10;6;1;25,06;420;0;;14,26;3,42;0,08
1;20,00;10;6;1;25,06;420;0;;13,98;4,44;
1;20,00;10;3;2;15,43;360;1;1;28,33;4,32;0,23
1;20,00;7;3;1;15,43;360;0;1;28,92;7,26;
1;20,00;7;3;1;15,43;360;0;;27,71;6,42;0,12
1;20,00;7;3;1;15,43;360;0;;23,05;6,12;
1;20,00;7;3;1;15,43;360;0;;25,29;7,08;
1;20,00;8;6;1;25,06;420;0;1;14,84;3,90;0,13
1;20,00;9;4;1;14,93;500;1;1;29,17;4,92;0,17
1;20,00;8;9;1;56,98;540;1;1;26,38;5,16;
1;20,00;6;2;1;7,80;570;0;1;16,65;4,98;0,13
1;20,00;10;6;1;25,06;420;1;1;12,40;2,10;0,26
1;20,00;10;6;1;25,06;420;0;;15,45;4,74;
1;20,00;8;9;1;56,98;540;1;1;29,24;4,68;0,16
1;20,00;10;9;1;56,98;540;0;;14,34;2,28;0,31
1;20,00;10;9;1;56,98;540;0;;28,13;5,46;
1;20,00;10;9;1;56,98;540;0;;15,63;3,24;0,10
1;20,00;10;5;1;25,06;420;0;1;51,57;5,82;
1;20,00;8;2;2;8,55;520;1;1;16,92;3,78;0,11
1;20,00;9;4;1;14,93;500;1;1;58,27;7,62;
1;20,00;10;9;1;56,98;540;0;;29,76;4,98;0,06
1;20,00;10;9;1;56,98;540;0;;15,76;3,48;
1;20,00;10;6;1;25,06;420;0;;28,66;6,12;
1;20,00;10;6;1;25,06;420;0;;29,49;5,82;
1;20,00;10;6;1;25,06;420;0;;52,76;6,00;0,34
1;20,00;10;6;1;25,06;420;0;;52,83;11,10;
1;20,00;10;6;1;25,06;420;0;;55,81;14,58;
1;20,00;10;6;1;25,06;420;0;;51,78;9,72;
1;20,00;9;9;1;56,98;540;0;;14,59;2,70;0,23
1;20,00;9;9;1;56,98;540;0;;14,94;2,82;0,22
1;20,00;10;9;1;56,98;540;0;;14,05;2,70;
1;20,00;10;9;1;56,98;540;0;;15,10;4,14;
1;20,00;8;9;1;56,98;540;0;;55,20;12,48;
1;20,00;8;9;1;56,98;540;0;;28,77;6,42;
1;20,00;8;9;1;56,98;540;0;;83,07;11,58;0,05
1;20,00;8;9;1;56,98;540;0;;80,51;11,76;
1;20,00;8;9;1;56,98;540;0;;79,83;11,52;
1;20,00;9;3;3;10,68;520;0;;27,32;5,46;
1;20,00;8;3;1;11,66;440;0;;27,01;7,38;
1;20,00;8;3;1;11,66;440;0;;39,44;4,38;0,26
1;20,00;8;2;1;9,12;510;0;;15,62;2,64;0,34
1;20,00;8;2;1;9,12;510;0;;18,56;5,04;
1;20,00;5;2;1;9,12;510;0;;16,06;3,84;0,06
1;20,00;5;2;1;9,12;510;0;;18,64;5,88;
1;20,00;8;5;1;13,59;640;1;1;65,72;5,88;0,40
1;20,00;8;5;1;13,59;640;0;;67,13;9,18;0,13
1;20,00;6;2;1;7,41;600;1;1;17,00;3,66;0,36
1;20,00;6;2;1;7,41;600;0;;16,30;5,94;
1;20,00;6;3;1;15,63;400;1;1;15,88;3,72;0,16
1;20,00;7;2;1;5,77;680;1;1;16,15;1,92;0,56
1;20,00;7;3;1;11,66;440;0;;26,30;4,80;0,39
1;20,00;6;3;1;11,66;440;1;1;15,76;3,12;0,26
1;20,00;7;2;1;7,41;600;1;1;16,36;3,30;0,32
1;20,00;6;3;1;10,32;510;1;1;15,03;5,04;0,11
1;20,00;7;2;1;5,54;380;0;1;14,34;7,50;
1;20,00;6;2;1;6,54;600;1;1;14,98;7,80;
1;20,00;5;2;1;9,12;510;0;;18,79;3,42;0,20
1;20,00;7;2;1;9,12;510;0;;25,47;5,34;0,14
1;20,00;7;2;1;9,12;510;0;;26,19;6,54;
1;20,00;7;2;1;9,12;510;0;;26,60;4,68;0,18
1;20,00;7;3;1;11,66;440;0;;25,05;5,76;0,19
1;20,00;7;3;1;11,66;440;0;;26,27;5,82;0,19
1;20,00;10;2;1;10,22;450;0;;19,57;6,90;
1;20,00;10;2;1;10,22;450;0;;19,06;5,58;
1;20,00;10;2;1;10,22;450;0;;18,85;4,74;
1;20,00;10;2;1;10,22;450;0;;38,40;7,68;
1;20,00;10;2;1;10,22;450;0;;35,54;7,50;
1;20,00;10;2;1;10,22;450;0;;54,71;5,28;0,07
1;20,00;10;2;1;11,21;410;0;;17,98;5,70;
1;20,00;10;2;1;10,69;645;1;1;5,44;1,08;0,39
1;20,00;10;2;1;8,51;540;0;1;14,46;2,52;0,35
1;20,00;9;2;1;10,22;450;0;;9,45;4,92;
1;20,00;9;2;1;8,68;490;1;1;6,02;1,38;0,23
1;20,00;10;2;1;10,22;450;0;1;18,23;3,42;0,38
1;20,00;10;2;1;10,22;450;0;;18,59;4,38;
1;20,00;10;2;1;8,51;540;1;1;9,16;3,30;
1;20,00;10;2;1;11,21;410;0;1;5,52;0,96;0,50
1;20,00;10;2;1;11,21;410;0;;5,71;2,04;
1;20,00;10;2;1;8,21;560;1;1;9,41;1,20;0,50
1;20,00;10;2;1;8,21;560;0;;9,00;3,72;
1;20,00;9;2;1;10,22;450;0;1;17,71;2,76;0,16
1;20,00;9;2;1;10,22;450;0;;12,97;4,08;
1;20,00;9;2;1;10,22;450;0;1;9,17;2,82;
1;20,00;10;2;1;10,22;450;0;;13,50;3,24;
1;20,00;10;2;1;10,22;450;0;1;8,90;1,86;0,09
1;20,00;10;2;1;10,22;450;0;;18,48;2,52;0,39
1;20,00;10;2;1;10,22;450;0;;13,04;3,84;
1;20,00;8;2;1;11,34;420;1;1;7,17;1,20;0,46
1;20,00;10;2;1;11,21;410;1;1;5,74;2,64;
1;20,00;10;2;1;10,22;450;0;1;9,40;4,68;
1;20,00;10;2;1;10,22;450;0;;9,74;3,42;
1;20,00;10;2;1;11,21;410;0;1;5,58;2,82;
1;20,00;3;3;1;12,06;420;1;1;0,06;0,18;
1;20,00;10;2;1;10,22;450;0;1;9,20;2,88;
1;20,00;10;2;1;10,22;450;0;;12,60;2,70;0,20
1;20,00;10;2;1;7,18;640;0;;26,68;4,08;
1;20,00;10;2;1;7,18;640;0;;54,20;8,22;
1;20,00;2;3;1;12,08;460;1;1;0,27;0,54;
1;20,00;10;2;1;10,22;450;0;1;5,61;2,22;
1;20,00;10;2;1;10,22;450;0;;5,73;1,32;
1;20,00;10;2;1;10,22;450;0;;9,60;1,38;0,65
1;20,00;10;2;1;10,22;450;0;;27,13;4,44;
1;20,00;10;2;1;7,18;640;0;1;6,11;3,66;
1;20,00;10;2;1;7,18;640;0;;37,33;3,78;0,51
1;20,00;10;2;1;7,18;640;0;;38,00;6,18;
1;20,00;10;2;1;7,18;640;0;;18,03;5,52;
1;20,00;10;2;1;7,18;640;0;;36,85;7,62;
1;20,00;10;2;1;7,18;640;0;;17,95;4,08;
1;20,00;10;2;1;7,18;640;0;;27,50;6,90;
1;20,00;10;2;1;10,22;450;0;1;5,71;2,52;
1;20,00;10;2;1;10,22;450;0;;18,77;3,66;0,11
1;20,00;10;2;1;10,22;450;0;;18,20;4,26;
1;20,00;10;2;1;10,22;450;0;;28,15;6,06;
1;20,00;10;2;1;10,22;450;0;;18,24;5,76;
1;20,00;10;2;1;7,18;640;0;;19,88;6,84;
1;20,00;10;2;1;7,18;640;0;;13,18;4,14;
1;20,00;10;2;1;7,18;640;0;;28,41;4,50;0,11
1;20,00;10;2;1;7,18;640;0;;18,87;3,36;0,33
1;20,00;10;2;1;7,18;640;0;;14,19;4,98;
1;20,00;10;2;1;10,22;450;0;;17,64;5,70;
1;20,00;10;2;1;10,22;450;0;;19,26;4,80;
1;20,00;10;2;1;10,22;450;0;;28,09;6,24;
1;20,00;10;2;1;10,22;450;0;;10,21;2,64;
1;20,00;10;2;1;10,22;450;0;;9,46;1,92;0,15
1;20,00;10;2;1;10,22;450;0;;19,12;3,30;
1;20,00;10;2;1;10,22;450;0;;10,00;2,58;
1;20,00;10;2;1;10,22;450;0;;13,89;4,14;
1;20,00;10;2;1;10,22;450;0;;18,82;7,50;
1;20,00;10;2;1;10,22;450;0;;19,11;4,32;
1;20,00;10;2;1;10,22;450;0;;17,89;5,34;
1;20,00;10;2;1;10,22;450;0;;28,82;4,44;
1;20,00;10;2;1;7,18;640;0;;17,65;5,88;
1;20,00;10;2;1;7,18;640;0;;28,23;5,28;
1;20,00;10;2;1;7,18;640;0;;36,31;2,88;0,48
1;20,00;10;2;1;7,18;640;0;;36,68;7,74;
1;20,00;10;2;1;10,22;450;0;;13,26;3,18;
1;20,00;10;2;1;10,22;450;0;;9,25;1,68;0,37
1;20,00;10;2;1;7,18;640;0;;28,39;5,34;
1;20,00;10;2;1;7,18;640;0;;36,12;5,16;0,14
1;20,00;10;2;1;7,18;640;0;;37,14;7,68;
1;20,00;10;2;1;7,18;640;0;;35,66;6,66;
1;20,00;10;2;1;7,18;640;0;;19,50;7,32;
1;20,00;10;2;1;7,18;640;0;;28,24;8,04;
1;20,00;10;2;1;10,22;450;0;;13,37;3,00;
1;20,00;10;2;1;10,22;450;0;;13,05;6,54;
1;20,00;10;2;1;10,22;450;0;;12,63;5,04;
1;20,00;10;2;1;10,22;450;0;;12,96;3,12;
1;20,00;10;2;1;7,18;640;0;;19,22;10,02;
1;20,00;10;2;1;7,18;640;0;;26,96;5,28;
1;20,00;8;2;1;10,22;450;0;;9,48;4,08;
1;20,00;8;2;1;10,22;450;0;;13,25;6,36;
1;20,00;8;2;1;10,22;450;0;;12,97;4,86;
1;20,00;8;2;1;10,22;450;0;;9,01;2,64;
1;20,00;8;2;1;10,22;450;0;;13,04;4,92;
1;20,00;10;2;1;10,22;450;0;;5,92;1,68;
1;20,00;10;2;1;10,22;450;0;;55,95;5,76;
1;20,00;10;2;1;10,22;450;0;;59,98;6,42;
1;20,00;10;2;1;10,22;450;0;;10,02;3,54;
1;20,00;10;2;1;10,22;450;0;;28,37;5,52;0,11
1;20,00;10;2;1;10,22;450;0;;26,27;3,42;0,28
1;20,00;10;2;1;10,22;450;0;;5,14;0,78;0,51
1;20,00;10;2;1;10,22;450;0;;59,93;6,54;
1;20,00;10;2;1;10,22;450;0;;19,13;5,88;
1;20,00;10;2;1;10,22;450;0;;19,43;4,86;
1;20,00;10;2;1;10,22;450;0;;15,12;5,52;
1;20,00;10;2;1;10,22;450;0;;41,30;6,36;
1;20,00;10;2;1;10,22;450;0;;36,21;5,34;0,07
;12,00;2;4;1;21,74;460;1;1;0,11;0,06;0,56
;20,00;8;5;2;24,00;500;0;;263,34;11,34;0,19
;20,00;8;5;1;24,00;500;0;;166,55;11,16;0,09
;20,00;8;5;1;24,00;500;0;;185,81;10,86;0,07
;20,00;8;5;1;24,00;500;0;;292,39;16,50;0,10
;20,00;8;5;1;24,00;500;0;;164,77;9,00;0,10
;20,00;8;5;1;24,00;500;0;;134,50;12,30;
;20,00;8;5;4;24,00;500;0;1;34,27;8,22;
;20,00;9;5;3;24,00;500;0;1;122,51;4,92;0,34
;20,00;7;5;2;24,00;500;0;1;26,27;7,02;
;20,00;8;5;1;24,00;500;0;1;126,25;11,82;0,14
;20,00;4;5;2;24,00;500;0;1;66,27;7,44;0,11
;20,00;8;5;2;24,00;500;0;1;134,00;9,42;0,27
;20,00;7;5;1;24,00;500;0;1;106,63;6,30;0,25
;20,00;9;5;3;24,00;500;0;1;49,71;4,14;0,44
;20,00;8;4;2;18,43;350;0;1;26,64;8,22;
;20,00;4;5;4;24,00;500;0;1;38,42;9,42;0,24
;20,00;7;5;1;24,00;500;0;;210,89;15,36;
;20,00;7;5;2;24,00;500;0;1;66,80;8,04;0,18
;20,00;4;5;3;24,00;500;0;1;32,92;7,44;0,17
;20,00;8;5;2;24,00;500;0;1;389,68;9,48;0,01
;20,00;9;5;2;24,00;500;1;1;33,74;8,46;
;20,00;9;5;3;24,00;500;0;1;127,12;11,94;
;20,00;8;5;2;24,00;500;0;1;131,05;9,60;
;20,00;10;5;3;24,00;500;0;1;45,13;8,76;
;20,00;8;4;2;18,43;350;0;1;81,71;11,70;
;20,00;7;5;1;24,00;500;0;;128,76;13,56;
;20,00;7;5;1;24,00;500;0;1;157,09;11,76;
;20,00;7;5;1;24,00;500;0;;161,37;13,92;0,07
;20,00;7;5;2;24,00;500;0;1;38,45;6,30;0,21
;20,00;7;5;2;24,00;500;0;;34,46;7,38;
;20,00;7;5;2;24,00;500;0;1;52,40;11,22;
;20,00;10;5;5;24,00;500;1;1;44,73;6,78;
;20,00;4;4;2;22,20;510;0;1;132,79;15,30;
;20,00;4;4;2;22,20;510;0;1;131,08;12,48;0,10
;20,00;7;5;2;24,00;500;0;1;34,50;8,28;
;20,00;4;4;2;22,20;510;0;1;80,96;12,48;0,26
;20,00;8;5;2;24,00;500;0;1;132,12;7,68;0,11
;20,00;7;5;1;24,00;500;0;1;51,11;7,08;0,32
;20,00;4;5;2;24,00;500;0;1;39,97;9,24;0,12
;20,00;4;5;2;24,00;500;0;;41,45;8,58;0,38
;20,00;8;5;3;24,00;500;1;1;37,15;4,62;0,27
;20,00;10;5;2;24,00;500;0;1;66,39;7,02;0,13
;20,00;4;5;3;24,00;500;0;1;35,03;8,76;
;20,00;7;5;1;24,00;500;0;1;25,93;6,78;
;20,00;7;5;2;24,00;500;0;1;40,94;5,46;0,38
;20,00;8;5;2;24,00;500;0;1;131,81;15,84;
;20,00;10;4;3;24,00;500;0;1;25,48;4,62;0,18
;20,00;4;4;2;22,20;510;0;1;189,84;9,12;0,09
;20,00;8;5;4;24,00;500;0;1;28,24;5,22;0,09
;20,00;9;5;5;24,00;500;0;1;32,61;6,54;
;20,00;10;5;3;24,00;500;0;1;33,25;3,60;0,24
;20,00;9;5;3;24,00;500;0;1;34,06;4,62;0,11
